,New (Shinjitai),Radical,English meaning,Readings,URLs
858,激,水,violent,はげ-しい,"['ANd9GcTnnysPE0dyUkpfmRQQ34JWlgsbmiFf8qRUxVahGcKdFOwvUIsSZ7pv4ypmkDs&s', 'ANd9GcTQJaJgYP_fx9uNIPGQd6blcTwKv5h9_tJPO65GRHsfflMd7dN5Q8eGndOXGg&s', 'ANd9GcRBiHAnQe5SuTi0Y0YuD5A1eBVFS2-fXWlOiL2tas0A8gx6xvSeAUha0HJ-LgM&s', 'ANd9GcRjQrOAyfVgo1bq-aKya6CjdBkftL1-Zus8tCK045n53enkETsew89hrloiRw&s', 'ANd9GcTngbNNB-R2giG5zXJaDmdXtxs-5u8qCjr6UDtfcMMyaBCO3Bxh3cPOyZMkaw&s', 'ANd9GcQcn8IFhTM3NFIlevOoBw5TYui4hFxxn3xpgr35zvYhAkUpAjivI82mGSFp85w&s', 'ANd9GcRz45bie6HS5F0VUY6Y7WiJGXyV9n5FDpA7rB3mT5EqBBfFVKbQpQI81kZlOh8&s', 'ANd9GcQw1p44jLTZwU8VV6QWMcBEJ7akZvVU5z84YTerHcbOeCXG9iEBGVXgPijq3g&s']"
859,穴,穴,hole,あな,"['ANd9GcT_0h5cQcHhdEwnI2wOV4WRaGgMlY1YqB1whIAJbqwxkAGiFxubFGgtYuXYnAM&s', 'ANd9GcSaPzs10VhEhiLGjiZKAKRtfMlOC7X28E9xcJ00gKUlP5p1nOVT49D7dQN6KmM&s', 'ANd9GcTqhtDC1e5aFXiwf2Dtv7BEK8t2KPhr70_frP9qi_Yqorm4t_azrarVfwEWrjE&s', 'ANd9GcSwA5SsZOUFy3N6SZJpEzsD6-JtlSZHFRMeZgQDIm-dmtZfbVlBBiD3aGrUEww&s', 'ANd9GcRZuEN4SNbLIG7w5-3KAP2xjEuHZOePTBd01uGjez7r0zwP6gLchYKyGYxRYmc&s', 'ANd9GcQKS2BIrUJpmH0yCtemD1kPs-ASMh64lg-0JFgyRgzyrLuMcuMC-hK_PokKXQ&s', 'ANd9GcSC3FMckSk9-5rcnnBi2LBNPfeoxWXZaeumaelYlmIuv5SuAEXtFmmfEo51e38&s', 'ANd9GcQ3Sf_fvMObes2OLvKrsLwBsjDMzrbiwrXlPN3TpKdqjI9MeyH4_pkC4LrCaik&s']"
860,絹,糸,silk,きぬ,"['ANd9GcSw2ATQUddZSyEIILIsqVmd6yshKlYcmCyPppImJ5q3COf19eqwRjctenI2CA&s', 'ANd9GcRn9lB_F0sGzCDLuNeQHyCo-usDioit_RRFRXCu4dcNej4VO2eTzk3qq_eN1vM&s', 'ANd9GcTkCCD7UjPQXmFBZln7q68zxEdHSwz8j8Ai7mWyev6mY-sEVJu4dQbO4-Nkuw&s', 'ANd9GcTP6BEYoyz2-8PGhZLo6g87OAB8fxuCuQO-U2iwN1H_ZC8km3OeRCJT6U1rsw&s', 'ANd9GcRYX_cLYjWPAI3IPNYgvbPI_sDuCy9PIsE7_PvrQkiMnG81kVoQpQfJrDxiTg&s', 'ANd9GcTdq01NpXhHQJrc1INPzG3pzhCdb_LKx7YWLUYtlPtIPf73FgFF90LD-3sc8Vs&s', 'ANd9GcRo7ENViZcgnryIv0mYTpnEWaR_1cvwg3P9JlNhIALeOqOgIumpLmwyOui7f6k&s', 'ANd9GcR1ZXTt9FuSYtOMZd5m-l4qo9xuq9yCwL-4lclDSXBozDlqp1lN-H2LI_xh8v8&s']"
861,権,木,rights,（ゴン）,"['ANd9GcQZ08sr-F4vHDrhHUDeLVDo2NV-TPeEExk7GBcWSHjfzT8sUYg1cYOJJ7-Ekt0&s', 'ANd9GcTseP7iyttqHnfkMhU4C5cLOasZx2LMc8RaZWLYV_K4gYnf2NIc2S7BTT7HApE&s', 'ANd9GcReSlkEvXkJK0xX52d6k6V1LSXVkxtKw9CuyYNBVBJMVWPHmZ5TOcLfqvk26w&s', 'ANd9GcQK32LdYEA1OcMJqTDyDqaH5mIpHWNehuFN6hlqErHVFWi6d5xW14IJxNGI9t0&s', 'ANd9GcRZLyShe4BJagKhVwCZ_3AcuSGh3ZuEeA-KM-niwZn8Hw4QJmtIbkY2HvcH698&s', 'ANd9GcT4KmtOGj2dMJZRdtAmn_XG61oU5zHv0I3_phf9qDq3AiQTgeOfTBOOzSsHwDo&s', 'ANd9GcTVCy2Hi5gU6uDqU3srK4LsV1ZxDP5bT7-kT8w5GW8MQ6uRBpwZ8ewWBmeZes8&s', 'ANd9GcQ0OX_fHLvHS3rC3kbOvnSVkkLk2hjAnDMR0B3q2GqRTbfRA4GYX-H82Y10jDs&s']"
862,憲,心,constitution,ケン,"['ANd9GcTJw5cjEDkqnm_5jISTAT7bjyNDsGzlB_MrFOxIf-FICmUfJbv2n_rsQ00Iz38&s', 'ANd9GcR-2UEtg5H2BkZX5TRB_fxAyajw7-0KyTy9AM7HOqh87Li6RUAW3pLOyJ1ljVw&s', 'ANd9GcQQNa60W2RMj6a_QnMXFEY9NpfJMA9hzJqPZwEUQuBMLsTS32UJV8u7A4hUAg&s', 'ANd9GcR28J4KZRklCcu3IDJKvHuWNMSn1s4ZCU4dj-IairqZ7whO7SVesxU7MwWjbw&s', 'ANd9GcTpMJQlRW0Qd3Wxdv49dCVpaBqsL-pnWieJS4l2mH8SIYAbndkVJxG5CZG29H4&s', 'ANd9GcR1IwPWQG96kyaR84K4goMbXq_ThZ-ny8VEPTgWPFe-zqCOcYhDZj7AatPLAw&s', 'ANd9GcQ_hR_9FNH4jUYxxW7N_KqwwD_cEV8-lTtCRCzRH1hRi8Lotlh0qbOX-bJZ4Q&s', 'ANd9GcRRFKy8fY8L5PmkylUhGPfMyBuKD52_cWwJe8gf1MAips9nGMis_m36LYJk0oQ&s']"
863,源,水,origin,みなもと,"['ANd9GcQskRmXF3yMDrZeZqIZ8-bjCLJzVMeLcXQ8NB6ve_oGPsUa261Pp6p7QNQDJQ&s', 'ANd9GcTjA1fkOg8MCWF_NXnkib1qhiLyUrPCNQhGivHr55CTJ06p1AwEiudDYx_RvA&s', 'ANd9GcTTiKY5xpW1H4L6mPAlF-tVT57NOfYX3EQGConTCZOx7AMZ9EWeVmm6o0y0wLE&s', 'ANd9GcRzcir96SDE0pw1_hdapLEs3kJMGih1jJwJM0euSiCpVP63Onn7szcRl1WrLA&s', 'ANd9GcQnEvwQSRl1z46wniA2UzK9Rdkifl34krGADAvTRf5Gqt6r6lgaDbyhdwS53w&s', 'ANd9GcRCeDuH7x7vXa2GdBgp-GY1VWyb2T_YvRZXBbq-NqPpt1EbmXoRz-dmapcVtQ&s', 'ANd9GcTZhohU0nu0IsPEp8u5POXRIxr-1-tyVwhBc1gypB31gwsWogYuJBazbKU_MKs&s', 'ANd9GcSDLao2jntXdTGlm24LTf9Ahe6RCxqhx9qUfj7f2w2ANt7vknFTAqD6d4xm3Q&s']"
864,厳,口,strict,おごそ-か,"['ANd9GcSI2Y3TSmrumC8cEM_Fya2q5QowQNfzO_sPjWdxfZty-pnY0ql6szFlLOyY7g&s', 'ANd9GcTC1EW_ArY5ge3lgtu-AWw-hZkpquiHUdMz5ET0dklBs-4aon9AibrlnlixNQ&s', 'ANd9GcQc8wMvom34qjjX5LvD--cgKEf1o_CAMu9ERlLaMPcYVMP5nfuGtIlMIngiaw&s', 'ANd9GcQaFvnqzGnIC_C1qYFYnr84eyTlWMp_HbdqqQrP6NUYKAm_svzfSzPwjD8nuw&s', 'ANd9GcRgNq5vZpNyciSkzSgTP6HLqxuroUqqas6_ZNeej3qAyt112vllF-l1mBSplQ&s', 'ANd9GcQUXRYsaxQ596JWBs7OmnzrGdwUFesIlsrIpDni8BzIak_1itxtGDQjvw8mTA&s', 'ANd9GcTWEG19Z2d7N8g9IGNbU6tGj8FYfD18cduZE5fXAB1KBS8MBl5FOEkzIUBlZQ&s', 'ANd9GcSh9tCBzSZRQCcY3HSD3HA9rW3_Aqg35xqsYq6GiVr6Xe7Vpxgj51_swFbw1b4&s']"
865,己,己,self,おのれ,"['ANd9GcQNNXiY9QfzG3-vIdmxn-fAy_FlYyFrrWHxupwVWkkCsLEx5-_E0JB3YZSQsQ&s', 'ANd9GcRha0Bn0uFtNYQcrDHsG722qxgI_ka6e5dxmoE4l1Xgj6RiWQv6BRj7UkOHww&s', 'ANd9GcQQNM7pBLygM8tv5fbwyZEhGr1LwVytppwQuL1fr7gei-B65mqMg7a7oIzPUfs&s', 'ANd9GcShD7u3JaQWmo1fbFbUUr4MW37fX0bVqAOuJNgRfv8_fGkOhQqNnmdgR0RyaS0&s', 'ANd9GcSCIAmBLT3ZlziD8w65naEj2dai_C_v7XiAZWeXOng8tkZCCvgmkVysdTklAA&s', 'ANd9GcSghFsRMjaOnPPNGUpdmrt0QT1O7L-C2M6fnBdhVyntg6K2quP5Av-gvRzO8w&s', 'ANd9GcT3VJhwKzR2oSKojI8TzydhdjWfh3fRg9OTGsWotGplQ_zAtZHRfbYtAUWTyw&s', 'ANd9GcRqiTK2TRLvhT6UeX2uKQ7XeUkXvMoySEiOKiG-xs8zThL84QjT4vB97VFJ3QI&s']"
866,呼,口,call,よ-ぶ,"['ANd9GcQF6hSJmukDFwICcIMIm4DZ3joOPjANkY-aXJSe4n0IqEuaKGDGnQFNs_I2Ow&s', 'ANd9GcRe2eGJpW8GacrKTDjM8Lj3H_UXWTD5OzxX_BIS5UruT69uQzE4nDrShUnE1g&s', 'ANd9GcSEX9n6F61GcHv-jJ5ghng1XXW2A39SCaovD5cnif3I6jO4uXMai8i8irUU6Lc&s', 'ANd9GcTZTuFkYJQIdlF68yCECloRvhDSnIZWCCbkU-dh80ySR4B-M7vK1IaGspgkloA&s', 'ANd9GcS4c5Fin6f8IARIXAWv9N-1EK4XnjHmU2XRqsMY87_mrTVFoT_qOx2n7OaTrdU&s', 'ANd9GcRmSvNyMd-h5vNQDFL_UnsMFqagXuHkINF9k3QbfTkG9W5Jsn-O0sTGwjoCxPk&s', 'ANd9GcTsDvyu4lMRVogwswJwJ3HfsdRKP03XGAl_wm_TkK5PR8lw3KSvlVDDVtcnmA&s', 'ANd9GcTF3hEa9JoquBZ7ZOL9Y3B6Mt4pAcBNwhtuEKjvZTmFiY2uHf4CAWxeDlKGMA&s']"
867,誤,言,mistake,あやま-る,"['ANd9GcRoklmDFJJ2r8w8Gs4hacix0eyhXnHhlWbfo-uk4YgkAfRXja9q9S3qEL_2JA&s', 'ANd9GcQNF3yWXIg1RE97t-buDb8q4nzCI-LicrjedQ8ZS1g0qovh9bf-e1m0eTbltA&s', 'ANd9GcTLQC3L3nJAnWOaTQhiXDDt73Uo7QM9QGA2CNf4qwzlVf3JlEv2aFO4ADWtnsw&s', 'ANd9GcRR2txSRRsUPWFHkl19hU5VuRAL4yQ0nZXoCAp5gdOl8tYDDk0OHcLs6Ta6kw&s', 'ANd9GcQlQR1EemrSeXREsrlqdDjOcD5uEokqpv7ck5ssaZPMLGVF3mqU0idU3y6njfM&s', 'ANd9GcRe7vDMa9JX34uwARM2GrRXU9GT7_AfyikwxDS96iWXVX9xkRamzyC3bslI-L4&s', 'ANd9GcRoTBkBXgfdClYokxR3MOVH6NsJRrcovc8YntrTpX8wyqyTVLkn0-d2mvbvWv0&s', 'ANd9GcTv5pq0Ykt7jKbAFnVCjD6B7WK3JFIdkSsrCEC0xaC_spZRMkQ3V6OiffosENg&s']"
868,后,口,empress,コウ,"['ANd9GcRXnVPEazrzrqh4VCEoAa7dA-zcpYs4lqia1Sz8718wfN6i-41he71BD_TErdA&s', 'ANd9GcRaCLqEqFuDJ_QF2c3LWbVgCN7pn6-1bEzroguyPEe2wwWAzm5AtkhTchBPuA&s', 'ANd9GcQNiug018wYedQu6Lr8ugbD1ZHNbxyF48yhIhOnjcx0V7qibz53gyUIbyPICNk&s', 'ANd9GcQAyyzp_yOktTkDeTBo-sbVQT5kjzNXmU2897hXOaOskvw-8861iz7qGcxwa94&s', 'ANd9GcQ692vI0wn4d87SBrTQlYrBmTq1wK8Y1NiXzSAjacsakOA38ZjXZz_0Xn_MxmM&s', 'ANd9GcRw_UUfIDU1JqXADLav-MTiiEsAKsopGnFbPbetxobmJbyTNJA9Hes7oLX-PI8&s', 'ANd9GcQj_D0ZjomEXsXQeROcIBgT1J-sTQUZOocABDPGlhjGJswGHQN3QtdtnjNYitg&s', 'ANd9GcRxpXvzcynJ4bcpcu0vnRd7xZZ788OLwP-qo_TzzNYiyD7ON_UsVYf2FTvjnQ&s']"
869,孝,子,filial piety,コウ,"['ANd9GcSFQ6WEvNrXMpnzT44MeVGlMBE1FBiV_IqrZc2C1hetpywTz7XVNTZs8qzz7pA&s', 'ANd9GcSrhPCz7_p9ROPJFDs5npKZ8ycY1NAcoS3Kt69X_U1TOfm2yP35_o_ebcyBuw&s', 'ANd9GcQVrdBorphX8qREG2EizRP-BrS1Sm50OKm6zXVMtpa2-9MsmihPtDNmGs5OoQ&s', 'ANd9GcTE42NBI7EaTGEBpWrLAhnFDZ-4PmoQnV9DRJFWt9bxOy9e1z3JAur6vH40Og&s', 'ANd9GcSb-oyi0Curi44jznbnxgioX7FyFygSsv3lFuZtwzCyPS4WBubE36uAmE16Dw&s', 'ANd9GcSHGS48G5NN2J6XdK1Uk1vzut5pp0qmm-rTIAtZQWSllJp6GuQ6Boo10xp1-A&s', 'ANd9GcTIiA_fatKXZj1qmA8VWn9r430FJ0mKuANaLFZkbzLtlimMveeVPXzKrABvzg&s', 'ANd9GcRHDNyepwuzQuA98i8ateV9aHDSMy--YN96WD754RCA_YyfWjmyyoh69OYbuw&s']"
870,皇,白,emperor,オウ,"['ANd9GcQWt7bT0Wi0oIz5bl8DMppY56Gg1RzdzL63dHPNtKZ2pBwinxl_PNGGHR3mww&s', 'ANd9GcTFXZkhcb6QJzDc-EAxXzresRokWrykelnnUvDAGtpN0jax_vDHK_G8zq9yLg0&s', 'ANd9GcQb-NzDETH9mGXcedz8_qcDGgLLFreWSzwcGZDZ6_m4Po-5k2YLobNqSHdxxg&s', 'ANd9GcQdasKeLyRZ9VGVEuAL_rs5yDYV3hPncXKaxxMgR5uMjCFidKKLw2qlwM3R0do&s', 'ANd9GcQ5EQeiGKdi-O6xxM2UcDrzF77xByhfi8JO2GT6H0NL7SCc-dCwOK_VpcItb2s&s', 'ANd9GcSRQwEXTsIr-DZsmvcLelT1HU8-ga7ZFNFzED2mxdhs0usxpuVkLDwZ6E-cLw&s', 'ANd9GcSn6LNTz74KOWMKL6vSF3FmF3y1llLKmInZZSplAw5ZOP6p1wDN3Wz-8f-Nn9s&s', 'ANd9GcQgYxSEvNcv9cDA-snTvPvIZhF7t4VgbW1xk3pB4WWZld0IuP9Z8m2GWugNuuI&s']"
871,紅,糸,deep red,べに,"['ANd9GcTqDMKrDZLJnKxfDbRfzFlisZrIub2RNvvMQtT61UoEFPJm1pA4DerRDhrI4w&s', 'ANd9GcSygfryFVzm8f4fz6ZFehbt8vLXoDxenMUDQJ7P2qJxnGWKB_iugyAvEOP6lg&s', 'ANd9GcRi3rDGd8nsoPtrOGKBcegssNfcEbrkOBQRGmVadMsLgCfRzq910sOKHd0rnw&s', 'ANd9GcRSmKTAj5PFBIk50gSqwmiWqWXRL6PrZIgs928C3tsC9W7J9pL2-LO98Wfxcw&s', 'ANd9GcTIocAIgAKPbQt62WbhNZKQryp_3n8G2t26mkQ0qJEx3bVouJO5YwHhXx6WmA&s', 'ANd9GcTJ1PaAA6lv7tWGLztnTMV1NZCVJXnnMADMZJmKMRQypaoScmksS3hKoyovOA&s', 'ANd9GcS9fEcBkkKRJkSWp_jUpSoBzMgPuGi9B0jr6Hk3udIsj0tEiCnyzF9rMglgPUg&s', 'ANd9GcSPscEyY8h6yLbN8JbpL5icdCdXj5il3UPRcZifXf2B-oxEtoXGcHvGIQVYMw&s']"
872,降,阜,descend,お-りる,"['ANd9GcSfJHxi534gHndaaYg5sbWoSuPnGqzvsioGtWeIMLPle0dtWFfuYrq03S0Uww&s', 'ANd9GcSYahRTt8Eb1FpEBsSjgx9bsOvxyN-6bvKBysKfcdRWT1xaWwWqPqQJi4M5RA&s', 'ANd9GcQxU5yXl8zk_Cic3lckfDDU3QGW9shMvdjLCtTfsvcXiHeFjp89sYYLFCWV5w&s', 'ANd9GcR7I8CS5ujp7gN8I2BFkKgHFBSfuS9Ss3du9zIKtQBsIUrMQC7MwZjSC8xjAA&s', 'ANd9GcS9oAkuVLmoQM87tBOfyIoOOOjlWipTJtFhM_SKAfs4t71iIbQzHxJ66eR2kis&s', 'ANd9GcQI2uYr7ZZCE__j8s_CHsXl3hpCRk1FOrhBNy9f8XVQd1o14Rvv-MY_M10_ibY&s', 'ANd9GcQygoAqUQp8WdZ4MqRQ3L39wxJoWL5FXgRvLmCL5NwjJEb_3LgloRwG03ufCQ&s', 'ANd9GcQRgeN6sobV4vG-w6g3iTE0fVSH082Y4SK4NSTQe5vp7aMormx58LlNOass4Q&s']"
873,鋼,金,steel,はがね,"['ANd9GcRcpfnhMLy7JltZ7YYXDGWPEJhHyOMP5M7hLY15CyVYW2mEUXEVyr5Cusc2vw&s', 'ANd9GcTwsbWfc7IkRRFi2fgH9H3gi5BYIcA1sSboqRmTxUGQYdSM7Wk9Fh3NWt6MOnI&s', 'ANd9GcRJZCpYXg4dyCvez2EwSFme-s3ZSECSeUyoXROCQxpUnNCiNpny4BnInnOVNQ&s', 'ANd9GcRSj95CFdRovkFuFRgOKv7TWNabZJjFc_RGLgVqdE0tcFeyiwwuNDJndF4HGQ&s', 'ANd9GcTermk7MCFRb8MGNAUyIH8s3IDIBGmQG3vmJSrmuzceYCzBLpYkgnum9F-iHwc&s', 'ANd9GcTXAt1sl5wmgRTm2sbB1AT_krs2LzW7k4tdc54_nLVXutdGoEvcMyT7MnbBk9U&s', 'ANd9GcTQDVN1abIB5QDGUTnN1QZhUw6CLfC7xgQVf4yeQyxeVZmalhpbsrTW5v9lcw&s', 'ANd9GcQBULprBQLjqk2HRxuSmDo42EJmBFupP3YLT-Vvi_Q-0YQRleHq2wMOtXd33A&s']"
874,刻,刀,engrave,きざ-む,"['ANd9GcQPb0Vr6ZxVCMCDDonOmEzMZ4K522L28cvcTC6tWRKqepKfsLIGoHGHS-JhAQ&s', 'ANd9GcQSpCwlby_MR2dBXSlGTVGxmM_ak2XQbhVEkNNt-U2qD76THdKHwJLe9xAluwQ&s', 'ANd9GcRXKV4tvY_X-6G95gjc11aCjhEsSBBLLV03v9TilEUnFPQx27SZiKjbg4ifUg&s', 'ANd9GcRu4FiGI5ruxwPoL218krspkvmlLvwzj4tF-YZeZaDhF0lFjifvzrchrPChNMs&s', 'ANd9GcSHrvIId-cUbnqfH7OfmTZyrxQI2Cv0YYf_Atu6LhPsR4Nw_ccoF7vFV-XdKA&s', 'ANd9GcQUxOHBsYe3qVYxVo3jEPW5yYgk_OgOglYT7lAGra90HNRK9JKmdssHFQl4xQ&s', 'ANd9GcTNPOL80qHVd87jrXyOrU9Fsf2DbhfKd-pfXl1ba3ENrg0V37EQzgP9mXD-Yw&s', 'ANd9GcQpi6qu2H_O7l7jhyCCJKCCxGnlCVzjRMIaj9iPL82SKzWiSqQyvHlX2vNN6g&s']"
875,穀,禾,cereals,コク,"['ANd9GcQD7DgujWSfJCuT0t-TC1I6UdnsLBScl1E2md3nKDqGrUdY5ivSEuk8Y5l4Rg&s', 'ANd9GcTlK429kwDCOSnvL3z1q-A_p2qHyTjLGih8vSF7zHdD_4zEYNg9ovX_phg4eUQ&s', 'ANd9GcQLrFgP_1W8-JvYGDq_mec5JQ_M9E5DWbVXr5WjZK-97XUI9PXWdP721cJtSHg&s', 'ANd9GcT1vIkgqs0xrsF64k7cCmNXBXGuBijI9iN7GUds2j4RWLATsf528iv6pUk1NA&s', 'ANd9GcQL4_8gT1M40kBEFTDqMFs3QfxlNM-_0wX6-Vqoyy4UqPWM2_Vju9MkkDJ6gg&s', 'ANd9GcT8ecMSuzCZU8WakV-7GJEuhwGQVxlAtM9SK-ZGfMaumqiS3r9so3EwYg9x9fk&s', 'ANd9GcR_jLNnoV74UmSXtBrgWxoVARAze5iUHfB-NLDrMXD2RUFQo1w94WxURYQ3aHk&s', 'ANd9GcSm57QjsrNmKoZKnQEwse9nw7O8NtX7NXhNR2uL7npbts_oOwh8eZhwaeDoyw&s']"
876,骨,骨,bone,ほね,"['ANd9GcQ0aCc292nDfyqEuYf7LziRvtbNl2GpXXQrLScY2YXoBH8u73Q8iR_j5JpL3Q&s', 'ANd9GcRv-0mAd8zptDu563xy91ML4rhJHjT4UQh5OLWjCxmIp9XUsCDRqBE3742LKQ&s', 'ANd9GcR9oieLzIFoS-vJCRsTMPB_YVprLfquJj9C31heH9hQYk-CvKmnCUOYNGngJbE&s', 'ANd9GcRo0wGEN5LoN8SVcN9n_VgzqqW2ZWlqBKe4MkQnj20vSslZRnKUIKoPiBSjnS4&s', 'ANd9GcR3ROUDfNwX3ZK9pZZIPwvNRupICy_Ak8Wxt71tR1kjuAqHndwyI3OxSMI7Sg&s', 'ANd9GcS69za04bq-kP8a21BJMgbssLJcuO85EaJSWb9KhfKU-JRCtA_P62LowPDPTg&s', 'ANd9GcRtAmRPsqaLnXvPbGObu9vIiF76P992m3LvWSr3WASg7ZBOHOsN1vd296turnU&s', 'ANd9GcT7OSlK_KRK_Y1VzyexMn4a9zRO_t0hicuwtAzyifwQ4KU4CTvr-79uCJZo_Q&s']"
877,困,囗,become distressed,こま-る,"['ANd9GcTdEd26cz80LUnqDH2hgXqrG3NmVf7WhtOm9TNW9JRmeriEuSphc1zscoVdVQ&s', 'ANd9GcTBQ-ESqacVaxqf-sgVWlWgt2MAP0KwbRAcnQXbT8qQRnw1qavwWcmZJGkCag&s', 'ANd9GcRPQVJJS2-FZlpS5vNEPez2qjdxQMW3Kii59lxUi_D5Fji1e-nnh4sV7NJHqA&s', 'ANd9GcTAyx67uItvmLYrRGf6-lM-S9Cd6isTOaBwQG5abAQw2TBgRaoggQlD7J4Ur90&s', 'ANd9GcRukP_zhcJzfsPHDuslZCdpnO9DKRys4kD1MXbByl5JDI42EaTLaH8ZHoeV8nk&s', 'ANd9GcSDawVfGNhOzbsyXV_fwBm7kHi4_xz9PUWO4sKrU_ua0Guara36PtqCLdUU3O0&s', 'ANd9GcQDTP6z8PNp_gmIcVNuZeBTqHFJ0tS5VWXE_k3HGWDl54W_qB4tjt06_83pjfM&s', 'ANd9GcQPVajgDzfDUswkD9bchfQ5TnzXpPbiwWnqnhOldEbB3DnTUT5xpag9CL20_g&s']"
878,砂,石,sand,すな,"['ANd9GcQM-pSS2haHbcGYcV6baOVOB-mcYgJLtx7RhW4VAvw96oXoNzZLKt2-1Yonl20&s', 'ANd9GcQF_Y7xA99PiCuqbYOrm0OXKedeDfZ9-AEm42fKilJk524rBn1rM0sOc5fdXw&s', 'ANd9GcR-ky0BK0vDNecvN9ju2pau80lbfaSW0qpFHKrAFz6RGyyok1CaFicCePeVXuc&s', 'ANd9GcS_chidY3bajre-JqqgBj5CcTZNpKui6kR4YvF_bvk-71EODx8eM7grnWGtvQ&s', 'ANd9GcSOwk2MIPTIuEt-4UQbKCCZJQbnG5_OhKjtUWf6oJ4l3yicXyydWam3q0sV6l0&s', 'ANd9GcTh4dq6gi2zesmiDemzXSciXbW7FQPl5LjVoufIXeG-tCmYUZsb967E1j19uQ&s', 'ANd9GcRTU082kZSJlZpJiEz-kO7m2HIvE5zHMgYkYMkKNWX2NAX-_m21ul3MM1Tu2w&s', 'ANd9GcSr0xMbWE7w_16GX6_GbSx7TOX4YOopNIJVHzeuh5RN48cw1UqMp68fP32LFg&s']"
879,座,广,sit,すわ-る,"['ANd9GcRkQjsHDNGmz0s8s2mV8YsADt7u0TVoQVocpKllUTXgmtEpsZtqmO5MoJUCLg&s', 'ANd9GcSrgGvBYXqnp5CZBktUaCxq-rxa59UhepuAoOwwNLy_vtK-1rDSO862jS26xuA&s', 'ANd9GcQJZwiQLf_bkesntBSjeaYVowkh8OOKaaTA0dCbhNmCf4L_KIuwyZ5AbR7hUw&s', 'ANd9GcSu8_C_gJZYpNa7bIItGP1jYWFdRt7xmmpBeT_vGksnqOFKuvIjiYZQL47iAQ&s', 'ANd9GcThiUevDoByb-TDVOLJSxQrgi3Qnm5CXDih9w9X3jQwobDsCQPJBmZ0P_q1Nt4&s', 'ANd9GcSxYdwT9NCSq4nvK4eGza63DRmLbfmK_UCT0OtlzuYHKFuU3Nvhmx3Uyyz6Ag&s', 'ANd9GcSlCY4w7nnLIo5nDw6-pUX7BQy9gkMYCXu3C02n_CBzP1svI8xrQg8t_ZyRLg&s', 'ANd9GcQ0cIRZ0m0xb_JxzsWLLpmHsHLGRkTWxF-ibI21U-Qbdg3fUSnWYAho0x4FlQ&s']"
880,済,水,settle,す-む,"['ANd9GcRhG8cDcakyiJljKtysNVq4DsfJkR0qWgmrfhqHmtHWvvm3gP1pOFKAvQwQyAo&s', 'ANd9GcT-PxPGLzJKe49OGXfx-wvLJ1yTJDUR_thQ5vUtVsO_JmeFaAz9AMn-3yBgHw&s', 'ANd9GcTHYu1NqdrTluZAwZQIjsqAUeKhNnYOy9AvO-OLpARZ6BKBDQhkc0It24M3fw&s', 'ANd9GcTa10Ab7hbzqMq69-SqPE9Yv7_V6TAEpk5VjvgdvYPmjuicCrM85f7hwjDSqQ&s', 'ANd9GcSBuvqVQGwepLn7i33epbegzkGPGpHgt7G0gyvEfYQtGpoCdOmFXelS3ztX6iU&s', 'ANd9GcT6AcwC415RvBwam1iLrefHWlNt6rBXAOKVwoUX2OPtPScZGq8oFJwE8z-m0g&s', 'ANd9GcT3lMo8BS8VGia-NB_WIFLyCNILgOTuOkK4DH7PABSbS2M2puoqYlqC2zRmIWg&s', 'ANd9GcTWveZvx5S1nW0xB6tGwC_YULSHYpW5WK6m1ljLgy7VKGagicgpSRjSrmKQtqI&s']"
881,裁,衣,judge,た-つ,"['ANd9GcTOA-QCPPeZf6oCVgtXQAoWYums9rytr96dtQnKaM2rl3KYf6e_7Fr9TizmjKk&s', 'ANd9GcRUhT2TQlD6jf7X0vTrqs4zqqrtWTChyxt_qq7kwnAeDoO6C8N9diuxc-jyaQ&s', 'ANd9GcRoYwlLJ7TqC0xlAuU4wl2ciekjrymgowWQJZ78PtrPhCQ00cpW2jz5GuGjMw&s', 'ANd9GcS0gpX9fn-AuEQHp_qj9ML7NxBX-jYwHNI1O9rEO_zaWlA2cMuDIA4DjgIQJg&s', 'ANd9GcSD2EtKBZxxR3pd-DyW_RYmlTHG08-ENjJio0YAhdL1K6TSuDRHRseV1iI47g&s', 'ANd9GcQ1QQbloFtXTRSJ7T5ZsynO8Wy34rQSFVHwZ8iF1TRg7aQEq_qcTukGMHStcQ&s', 'ANd9GcTHI7hZybSj1Gj07m8St6gygK5Mmbc05_c1tZPLhfSZTDhqfzoABLKL6V8TBA&s', 'ANd9GcSYdR3jtEedxiz8VmzkByW7my_iP3-pCXaqf4DEa46ls4QyFhTF77-s0rFn3g&s']"
